age_group,gender,category,budget_band,price_band,buy_freq,buy_factor,channel_main,review_consider,eco_interest,eco_paymore,brand_preference,style_pref
25-34,m,jas,<100k,murah,Jarang,Trend,Offline,Sering,Tertarik,Tidak,hijau,klasik
25-34,f,pakaian-wanita,300-600k,sedang,Setiap bulan,Merek,Offline,Sering,Agak tertarik,Tidak,netral,formal
25-34,f,jaket,300-600k,sedang,Beberapa bulan,Merek,Marketplace,Sering,Tertarik,Tidak,kuning,klasik
25-34,m,kaos,<100k,murah,Jarang,Harga,Web brand,Tak pernah,Agak tertarik,Ya,merah,klasik
25-34,f,jaket,100-300k,murah,Setiap bulan,Kualitas,Marketplace,Kadang,Tidak tertarik,Mungkin,putih,klasik
25-34,f,pakaian-wanita,300-600k,sedang,Beberapa bulan,Merek,Web brand,Selalu,Agak tertarik,Mungkin,earth,klasik
25-34,m,kaos,100-300k,murah,Jarang,Trend,Sosmed,Selalu,Tertarik,Ya,kuning,kasual
25-34,f,kaos,100-300k,murah,Beberapa bulan,Harga,Web brand,Tak pernah,Agak tertarik,Mungkin,netral,formal
25-34,m,jas,100-300k,sedang,Setiap minggu,Trend,Offline,Sering,Agak tertarik,Tidak,biru,klasik
25-34,m,jas,100-300k,sedang,Beberapa bulan,Trend,Sosmed,Kadang,Tertarik,Tidak,biru,formal
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Kualitas,Sosmed,Kadang,Tertarik,Ya,hitam,kasual
25-34,f,kaos,300-600k,sedang,Beberapa bulan,Merek,Web brand,Selalu,Tidak tertarik,Mungkin,earth,klasik
25-34,f,aksesori,<100k,murah,Setiap minggu,Merek,Sosmed,Selalu,Tidak tertarik,Tidak,pink,kasual
25-34,f,pakaian-wanita,300-600k,sedang,Jarang,Trend,Sosmed,Tak pernah,Tertarik,Tidak,pink,kasual
25-34,m,jas,300-600k,sedang,Beberapa bulan,Trend,Sosmed,Kadang,Tertarik,Tidak,netral,formal
25-34,f,pakaian-pria,100-300k,sedang,Beberapa bulan,Trend,Offline,Kadang,Tidak tertarik,Mungkin,earth,formal
25-34,m,pakaian-pria,<100k,murah,Beberapa bulan,Kualitas,Marketplace,Kadang,Tertarik,Tidak,abu,formal
25-34,m,pakaian-wanita,<100k,murah,Setiap minggu,Harga,Marketplace,Kadang,Tidak tertarik,Mungkin,pastel,kasual
25-34,m,kaos,<100k,murah,Beberapa bulan,Trend,Web brand,Sering,Tidak tertarik,Tidak,biru,kasual
25-34,f,kaos-kaki,300-600k,sedang,Setiap bulan,Harga,Sosmed,Kadang,Agak tertarik,Tidak,merah,kasual
25-34,f,pakaian-wanita,300-600k,sedang,Setiap minggu,Merek,Web brand,Selalu,Tidak tertarik,Mungkin,merah,kasual
25-34,m,kaos,300-600k,sedang,Beberapa bulan,Harga,Marketplace,Sering,Tidak tertarik,Mungkin,vibrant,klasik
25-34,m,pakaian-pria,100-300k,murah,Jarang,Harga,Marketplace,Selalu,Tertarik,Tidak,biru,klasik
25-34,f,pakaian-pria,<100k,murah,Setiap minggu,Merek,Marketplace,Sering,Tidak tertarik,Tidak,pink,kasual
25-34,m,jaket,300-600k,sedang,Jarang,Harga,Marketplace,Selalu,Tertarik,Tidak,kuning,klasik
25-34,f,kaos-kaki,100-300k,sedang,Setiap minggu,Trend,Web brand,Kadang,Agak tertarik,Tidak,hijau,formal
25-34,m,jas,300-600k,sedang,Beberapa bulan,Harga,Offline,Sering,Agak tertarik,Ya,pastel,kasual
25-34,f,jas,100-300k,sedang,Jarang,Merek,Sosmed,Tak pernah,Tertarik,Mungkin,vibrant,klasik
25-34,m,pakaian-pria,<100k,murah,Beberapa bulan,Merek,Sosmed,Sering,Agak tertarik,Mungkin,merah,kasual
25-34,f,pakaian-pria,<100k,murah,Jarang,Kualitas,Marketplace,Selalu,Tertarik,Tidak,hitam,klasik
25-34,f,sweater,100-300k,murah,Beberapa bulan,Kualitas,Web brand,Sering,Tertarik,Tidak,pink,kasual
25-34,f,kaos,100-300k,murah,Setiap bulan,Trend,Offline,Kadang,Agak tertarik,Ya,biru,kasual
25-34,m,kaos,100-300k,murah,Beberapa bulan,Harga,Sosmed,Tak pernah,Agak tertarik,Ya,vibrant,kasual
25-34,f,kaos,<100k,murah,Jarang,Kualitas,Web brand,Kadang,Tertarik,Ya,earth,klasik
25-34,m,jaket,100-300k,murah,Jarang,Kualitas,Marketplace,Kadang,Tidak tertarik,Tidak,netral,klasik
25-34,f,kaos,100-300k,murah,Setiap minggu,Merek,Web brand,Kadang,Tertarik,Tidak,netral,formal
25-34,f,jas,300-600k,sedang,Setiap bulan,Trend,Web brand,Sering,Agak tertarik,Tidak,kuning,klasik
25-34,m,kaos,100-300k,murah,Setiap bulan,Trend,Offline,Selalu,Tertarik,Tidak,netral,formal
25-34,m,jaket,300-600k,sedang,Jarang,Harga,Offline,Tak pernah,Agak tertarik,Mungkin,earth,formal
25-34,f,sweater,300-600k,sedang,Beberapa bulan,Kualitas,Sosmed,Tak pernah,Tidak tertarik,Mungkin,abu,kasual
25-34,f,celana,100-300k,sedang,Beberapa bulan,Trend,Marketplace,Selalu,Agak tertarik,Mungkin,earth,klasik
25-34,f,sweater,300-600k,sedang,Beberapa bulan,Kualitas,Sosmed,Tak pernah,Tidak tertarik,Mungkin,abu,formal
25-34,f,pakaian-wanita,100-300k,murah,Setiap bulan,Trend,Sosmed,Sering,Tidak tertarik,Ya,vibrant,klasik
25-34,m,pakaian-pria,100-300k,murah,Setiap minggu,Kualitas,Web brand,Kadang,Tertarik,Mungkin,putih,klasik
25-34,f,jas,100-300k,sedang,Beberapa bulan,Harga,Sosmed,Selalu,Tidak tertarik,Mungkin,vibrant,klasik
25-34,f,sweater,<100k,murah,Setiap minggu,Merek,Web brand,Sering,Tidak tertarik,Mungkin,earth,kasual
25-34,m,kaos-polo,300-600k,sedang,Beberapa bulan,Merek,Offline,Selalu,Tertarik,Mungkin,hijau,kasual
25-34,f,pakaian-wanita,300-600k,sedang,Setiap bulan,Harga,Marketplace,Tak pernah,Tertarik,Mungkin,hijau,formal
25-34,m,kaos,100-300k,murah,Setiap bulan,Harga,Marketplace,Kadang,Tertarik,Ya,vibrant,kasual
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Trend,Offline,Kadang,Tertarik,Ya,merah,formal
25-34,m,jas,300-600k,sedang,Setiap minggu,Kualitas,Sosmed,Selalu,Tertarik,Mungkin,vibrant,klasik
25-34,f,pakaian-pria,300-600k,sedang,Beberapa bulan,Merek,Marketplace,Selalu,Tidak tertarik,Mungkin,coklat,kasual
25-34,f,pakaian-pria,100-300k,murah,Jarang,Harga,Marketplace,Kadang,Tidak tertarik,Mungkin,hitam,kasual
25-34,m,kaos,300-600k,sedang,Setiap minggu,Kualitas,Offline,Sering,Agak tertarik,Tidak,putih,formal
25-34,m,pakaian-pria,100-300k,murah,Setiap minggu,Merek,Web brand,Kadang,Agak tertarik,Tidak,earth,formal
25-34,f,pakaian-pria,300-600k,sedang,Setiap bulan,Harga,Offline,Sering,Agak tertarik,Mungkin,hitam,klasik
25-34,m,celana,300-600k,sedang,Jarang,Trend,Marketplace,Kadang,Tidak tertarik,Tidak,vibrant,kasual
25-34,f,kaos,100-300k,murah,Setiap bulan,Kualitas,Marketplace,Tak pernah,Agak tertarik,Tidak,hijau,formal
25-34,m,kaos,300-600k,sedang,Setiap bulan,Merek,Marketplace,Selalu,Agak tertarik,Ya,netral,formal
25-34,m,kaos,300-600k,sedang,Setiap bulan,Kualitas,Marketplace,Sering,Tidak tertarik,Tidak,merah,klasik
25-34,f,sweater,100-300k,sedang,Setiap minggu,Kualitas,Web brand,Kadang,Agak tertarik,Ya,hitam,formal
25-34,f,pakaian-wanita,100-300k,sedang,Beberapa bulan,Kualitas,Offline,Tak pernah,Tertarik,Ya,earth,kasual
25-34,m,kaos,<100k,murah,Setiap minggu,Trend,Marketplace,Tak pernah,Agak tertarik,Tidak,kuning,formal
25-34,f,kaos,100-300k,murah,Jarang,Kualitas,Web brand,Kadang,Tertarik,Mungkin,earth,klasik
25-34,m,kaos,100-300k,sedang,Jarang,Trend,Web brand,Tak pernah,Tidak tertarik,Ya,biru,klasik
25-34,m,kaos,100-300k,murah,Setiap bulan,Harga,Offline,Kadang,Agak tertarik,Tidak,hitam,klasik
25-34,f,pakaian-wanita,300-600k,sedang,Setiap bulan,Kualitas,Offline,Selalu,Tidak tertarik,Ya,netral,formal
25-34,m,kaos-kaki,100-300k,sedang,Jarang,Trend,Sosmed,Kadang,Agak tertarik,Ya,hijau,klasik
25-34,f,pakaian-wanita,300-600k,sedang,Setiap bulan,Merek,Sosmed,Tak pernah,Agak tertarik,Tidak,pink,kasual
25-34,m,celana,300-600k,sedang,Setiap minggu,Kualitas,Sosmed,Selalu,Tertarik,Mungkin,vibrant,klasik
25-34,f,jaket,100-300k,murah,Jarang,Kualitas,Web brand,Kadang,Agak tertarik,Mungkin,hijau,kasual
25-34,f,sweater,100-300k,murah,Setiap minggu,Kualitas,Sosmed,Kadang,Tidak tertarik,Ya,netral,klasik
25-34,f,pakaian-pria,100-300k,sedang,Jarang,Trend,Sosmed,Kadang,Tidak tertarik,Ya,putih,klasik
25-34,f,jas,300-600k,sedang,Setiap bulan,Trend,Web brand,Sering,Agak tertarik,Tidak,kuning,kasual
25-34,m,pakaian-pria,100-300k,murah,Beberapa bulan,Merek,Offline,Tak pernah,Tidak tertarik,Mungkin,pink,kasual
25-34,f,kaos,<100k,murah,Setiap minggu,Kualitas,Sosmed,Sering,Tertarik,Ya,hijau,kasual
25-34,m,kemeja-casual,300-600k,sedang,Jarang,Kualitas,Sosmed,Tak pernah,Agak tertarik,Tidak,earth,formal
25-34,m,kaos,<100k,murah,Jarang,Trend,Marketplace,Tak pernah,Tidak tertarik,Tidak,merah,klasik
25-34,m,kaos,100-300k,murah,Beberapa bulan,Harga,Marketplace,Kadang,Tidak tertarik,Tidak,putih,formal
25-34,f,jaket,300-600k,sedang,Setiap minggu,Kualitas,Web brand,Kadang,Agak tertarik,Ya,netral,kasual
25-34,m,sweater,100-300k,murah,Setiap bulan,Harga,Web brand,Tak pernah,Tidak tertarik,Tidak,abu,kasual
25-34,m,celana,100-300k,sedang,Jarang,Kualitas,Web brand,Tak pernah,Tidak tertarik,Mungkin,netral,kasual
25-34,f,pakaian-pria,300-600k,sedang,Beberapa bulan,Kualitas,Web brand,Kadang,Agak tertarik,Ya,pink,formal
25-34,m,kaos-kaki,300-600k,sedang,Beberapa bulan,Kualitas,Marketplace,Kadang,Tertarik,Tidak,abu,klasik
25-34,f,jaket,100-300k,murah,Setiap minggu,Kualitas,Sosmed,Tak pernah,Agak tertarik,Ya,kuning,formal
25-34,m,pakaian-pria,<100k,murah,Setiap bulan,Trend,Sosmed,Tak pernah,Tertarik,Mungkin,merah,kasual
25-34,m,jas,300-600k,sedang,Setiap minggu,Trend,Offline,Selalu,Agak tertarik,Mungkin,vibrant,formal
25-34,f,kaos,100-300k,murah,Beberapa bulan,Kualitas,Offline,Selalu,Tertarik,Tidak,hitam,kasual
25-34,m,kaos,100-300k,sedang,Beberapa bulan,Trend,Web brand,Selalu,Agak tertarik,Mungkin,pastel,formal
25-34,m,kaos,300-600k,sedang,Jarang,Merek,Marketplace,Kadang,Tidak tertarik,Ya,abu,klasik
25-34,f,jaket,100-300k,murah,Jarang,Harga,Offline,Kadang,Agak tertarik,Ya,merah,klasik
25-34,f,kaos,300-600k,sedang,Beberapa bulan,Trend,Web brand,Kadang,Tidak tertarik,Tidak,netral,klasik
25-34,m,jas,<100k,murah,Setiap minggu,Trend,Sosmed,Tak pernah,Agak tertarik,Tidak,hitam,kasual
25-34,f,pakaian-wanita,300-600k,sedang,Setiap bulan,Trend,Offline,Kadang,Tertarik,Ya,earth,klasik
25-34,f,pakaian-pria,100-300k,murah,Setiap bulan,Kualitas,Web brand,Sering,Tidak tertarik,Ya,netral,kasual
25-34,m,pakaian-pria,300-600k,sedang,Beberapa bulan,Harga,Web brand,Sering,Tidak tertarik,Mungkin,coklat,formal
25-34,f,pakaian-pria,100-300k,sedang,Setiap minggu,Kualitas,Sosmed,Sering,Agak tertarik,Tidak,abu,kasual
25-34,m,pakaian-pria,<100k,murah,Jarang,Trend,Sosmed,Tak pernah,Tertarik,Ya,earth,formal
25-34,f,pakaian-wanita,300-600k,sedang,Setiap minggu,Kualitas,Web brand,Selalu,Agak tertarik,Mungkin,kuning,kasual
25-34,m,kaos,300-600k,sedang,Beberapa bulan,Trend,Web brand,Tak pernah,Agak tertarik,Mungkin,netral,klasik
25-34,m,pakaian-pria,<100k,murah,Setiap bulan,Kualitas,Offline,Sering,Tertarik,Mungkin,hijau,formal
25-34,m,kaos,<100k,murah,Setiap bulan,Harga,Offline,Selalu,Tertarik,Ya,hitam,klasik
25-34,f,pakaian-pria,100-300k,sedang,Setiap bulan,Merek,Marketplace,Kadang,Agak tertarik,Ya,earth,klasik
25-34,f,kaos,300-600k,sedang,Jarang,Kualitas,Sosmed,Sering,Tidak tertarik,Mungkin,hitam,formal
25-34,m,sweater,<100k,murah,Jarang,Merek,Marketplace,Selalu,Tertarik,Tidak,hitam,klasik
25-34,f,jaket,300-600k,sedang,Jarang,Kualitas,Sosmed,Kadang,Tidak tertarik,Tidak,earth,formal
25-34,m,aksesori,<100k,murah,Beberapa bulan,Merek,Marketplace,Kadang,Tidak tertarik,Tidak,earth,formal
25-34,f,kaos,100-300k,murah,Setiap bulan,Harga,Sosmed,Tak pernah,Agak tertarik,Mungkin,biru,kasual
25-34,f,kaos,<100k,murah,Setiap minggu,Harga,Marketplace,Selalu,Agak tertarik,Tidak,earth,formal
25-34,f,jas,100-300k,sedang,Beberapa bulan,Harga,Web brand,Tak pernah,Agak tertarik,Ya,hitam,kasual
25-34,m,sweater,<100k,murah,Setiap minggu,Merek,Web brand,Sering,Agak tertarik,Mungkin,vibrant,klasik
25-34,m,jas,300-600k,sedang,Setiap minggu,Harga,Sosmed,Kadang,Tertarik,Tidak,hitam,kasual
25-34,f,kaos,100-300k,murah,Setiap minggu,Merek,Web brand,Selalu,Agak tertarik,Tidak,pastel,klasik
25-34,m,jas,100-300k,sedang,Setiap bulan,Harga,Sosmed,Selalu,Agak tertarik,Mungkin,vibrant,klasik
25-34,m,kaos,300-600k,sedang,Setiap minggu,Harga,Sosmed,Kadang,Agak tertarik,Ya,vibrant,kasual
25-34,m,kaos,300-600k,sedang,Setiap minggu,Trend,Sosmed,Selalu,Tertarik,Mungkin,coklat,formal
25-34,f,kaos,100-300k,murah,Jarang,Trend,Web brand,Selalu,Tertarik,Ya,pastel,kasual
25-34,m,jas,100-300k,sedang,Jarang,Kualitas,Marketplace,Tak pernah,Agak tertarik,Ya,netral,kasual
25-34,m,pakaian-pria,100-300k,murah,Setiap minggu,Harga,Marketplace,Kadang,Agak tertarik,Mungkin,putih,kasual
25-34,m,celana,100-300k,sedang,Setiap minggu,Kualitas,Sosmed,Tak pernah,Tidak tertarik,Tidak,earth,klasik
25-34,m,jas,300-600k,sedang,Setiap bulan,Merek,Web brand,Sering,Tidak tertarik,Mungkin,merah,kasual
25-34,f,jas,300-600k,sedang,Jarang,Merek,Offline,Sering,Tidak tertarik,Ya,vibrant,formal
25-34,m,kaos,300-600k,sedang,Beberapa bulan,Kualitas,Web brand,Tak pernah,Tertarik,Ya,kuning,kasual
25-34,f,pakaian-pria,300-600k,sedang,Setiap minggu,Harga,Web brand,Selalu,Agak tertarik,Mungkin,kuning,kasual
25-34,m,jas,300-600k,sedang,Setiap minggu,Harga,Web brand,Sering,Tertarik,Tidak,vibrant,klasik
25-34,f,pakaian-pria,<100k,murah,Setiap bulan,Merek,Marketplace,Kadang,Agak tertarik,Ya,biru,kasual
25-34,f,pakaian-wanita,<100k,murah,Beberapa bulan,Merek,Web brand,Selalu,Agak tertarik,Mungkin,kuning,klasik
25-34,m,kaos-polo,100-300k,sedang,Beberapa bulan,Harga,Sosmed,Tak pernah,Tertarik,Tidak,merah,formal
25-34,m,pakaian-pria,100-300k,murah,Setiap minggu,Merek,Marketplace,Tak pernah,Tertarik,Ya,pink,klasik
25-34,f,kaos,300-600k,sedang,Setiap bulan,Harga,Sosmed,Sering,Tidak tertarik,Ya,putih,kasual
25-34,m,kaos,100-300k,murah,Beberapa bulan,Harga,Sosmed,Kadang,Tertarik,Tidak,hijau,kasual
25-34,m,pakaian-wanita,100-300k,murah,Setiap minggu,Kualitas,Offline,Selalu,Tertarik,Mungkin,pastel,formal
25-34,f,pakaian-pria,100-300k,murah,Setiap bulan,Harga,Sosmed,Sering,Tidak tertarik,Tidak,pastel,klasik
25-34,m,kaos,<100k,murah,Beberapa bulan,Trend,Web brand,Tak pernah,Agak tertarik,Mungkin,hitam,formal
25-34,f,jas,100-300k,sedang,Setiap bulan,Trend,Sosmed,Selalu,Agak tertarik,Mungkin,pastel,kasual
25-34,f,sweater,300-600k,sedang,Jarang,Trend,Marketplace,Sering,Agak tertarik,Tidak,hijau,kasual
25-34,m,kaos,300-600k,sedang,Jarang,Harga,Sosmed,Selalu,Agak tertarik,Tidak,biru,klasik
25-34,m,sweater,100-300k,murah,Beberapa bulan,Merek,Sosmed,Tak pernah,Agak tertarik,Tidak,vibrant,formal
25-34,f,pakaian-pria,100-300k,murah,Setiap bulan,Harga,Web brand,Tak pernah,Tidak tertarik,Mungkin,earth,kasual
25-34,f,pakaian-pria,<100k,murah,Setiap bulan,Trend,Web brand,Kadang,Tertarik,Mungkin,pastel,klasik
25-34,f,celana,100-300k,sedang,Beberapa bulan,Kualitas,Offline,Selalu,Tertarik,Tidak,coklat,kasual
25-34,m,pakaian-wanita,300-600k,sedang,Setiap minggu,Trend,Marketplace,Kadang,Agak tertarik,Mungkin,vibrant,formal
25-34,m,pakaian-pria,300-600k,sedang,Setiap bulan,Merek,Sosmed,Tak pernah,Tertarik,Mungkin,hitam,klasik
25-34,f,kaos,100-300k,murah,Setiap bulan,Kualitas,Offline,Tak pernah,Tertarik,Ya,netral,kasual
25-34,m,kaos,<100k,murah,Jarang,Harga,Web brand,Kadang,Tidak tertarik,Mungkin,merah,formal
25-34,f,celana,100-300k,sedang,Setiap minggu,Trend,Offline,Kadang,Tertarik,Tidak,vibrant,kasual
25-34,f,sweater,<100k,murah,Beberapa bulan,Harga,Marketplace,Selalu,Tidak tertarik,Mungkin,vibrant,formal
25-34,m,kaos,300-600k,sedang,Beberapa bulan,Kualitas,Sosmed,Kadang,Tertarik,Tidak,putih,kasual
25-34,f,kaos,300-600k,sedang,Beberapa bulan,Merek,Offline,Kadang,Tidak tertarik,Mungkin,vibrant,formal
25-34,m,kaos,300-600k,sedang,Jarang,Kualitas,Sosmed,Tak pernah,Tertarik,Tidak,pink,formal
25-34,f,pakaian-wanita,100-300k,sedang,Jarang,Harga,Sosmed,Selalu,Tidak tertarik,Mungkin,pastel,formal
25-34,f,pakaian-pria,100-300k,murah,Setiap bulan,Harga,Sosmed,Tak pernah,Tidak tertarik,Ya,vibrant,kasual
25-34,f,kaos,<100k,murah,Setiap bulan,Kualitas,Web brand,Kadang,Tertarik,Tidak,putih,formal
25-34,m,kaos,300-600k,sedang,Setiap minggu,Kualitas,Offline,Kadang,Tidak tertarik,Mungkin,abu,klasik
25-34,f,kemeja-casual,300-600k,sedang,Setiap bulan,Merek,Web brand,Kadang,Tidak tertarik,Ya,earth,formal
25-34,m,pakaian-pria,<100k,murah,Jarang,Harga,Sosmed,Sering,Agak tertarik,Ya,earth,kasual
25-34,f,pakaian-wanita,100-300k,sedang,Jarang,Trend,Web brand,Kadang,Agak tertarik,Tidak,merah,kasual
25-34,m,pakaian-pria,<100k,murah,Beberapa bulan,Harga,Marketplace,Kadang,Agak tertarik,Tidak,putih,klasik
25-34,f,\N,>600k,mahal,Setiap minggu,Trend,Web brand,Sering,Tertarik,Mungkin,putih,kasual
25-34,f,pakaian-wanita,300-600k,sedang,Setiap minggu,Trend,Offline,Selalu,Tertarik,Tidak,earth,formal
25-34,f,celana,100-300k,sedang,Beberapa bulan,Merek,Sosmed,Kadang,Tertarik,Mungkin,kuning,klasik
25-34,f,pakaian-pria,<100k,murah,Setiap minggu,Kualitas,Offline,Kadang,Agak tertarik,Tidak,vibrant,klasik
25-34,f,sweater,<100k,murah,Jarang,Kualitas,Sosmed,Sering,Agak tertarik,Tidak,pastel,formal
25-34,f,pakaian-pria,100-300k,murah,Setiap minggu,Trend,Sosmed,Selalu,Tertarik,Mungkin,putih,formal
25-34,f,pakaian-pria,300-600k,sedang,Jarang,Merek,Sosmed,Selalu,Tidak tertarik,Ya,kuning,kasual
25-34,m,celana,100-300k,sedang,Setiap bulan,Merek,Web brand,Sering,Agak tertarik,Ya,putih,kasual
25-34,m,kaos,100-300k,murah,Beberapa bulan,Kualitas,Offline,Selalu,Agak tertarik,Tidak,biru,formal
25-34,f,kaos-polo,300-600k,sedang,Beberapa bulan,Kualitas,Marketplace,Selalu,Tidak tertarik,Ya,hitam,kasual
25-34,f,pakaian-pria,100-300k,murah,Jarang,Merek,Offline,Tak pernah,Tidak tertarik,Tidak,pastel,kasual
25-34,m,pakaian-wanita,100-300k,sedang,Jarang,Kualitas,Marketplace,Selalu,Tertarik,Tidak,hitam,formal
25-34,m,kaos,300-600k,sedang,Beberapa bulan,Trend,Sosmed,Tak pernah,Tidak tertarik,Tidak,netral,formal
