age_group,gender,category,budget_band,price_band,buy_freq,buy_factor,channel_main,review_consider,eco_interest,eco_paymore,brand_preference,style_pref
25-34,m,pakaian-pria,300-600k,sedang,Setiap bulan,Harga,Marketplace,Selalu,Agak tertarik,Mungkin,vibrant,sporty
25-34,f,pakaian-wanita,100-300k,sedang,Setiap minggu,Harga,Marketplace,Kadang,Agak tertarik,Tidak,hitam,kasual
25-34,f,kaos,100-300k,murah,Jarang,Trend,Offline,Sering,Agak tertarik,Ya,abu,formal
25-34,m,jas,100-300k,sedang,Jarang,Kualitas,Marketplace,Sering,Agak tertarik,Tidak,coklat,vintage
25-34,f,kaos,300-600k,sedang,Jarang,Trend,Web brand,Selalu,Tertarik,Ya,biru,kasual
25-34,f,kaos-polo,300-600k,sedang,Setiap bulan,Kualitas,Web brand,Kadang,Tertarik,Tidak,putih,sporty
25-34,m,jas,300-600k,sedang,Setiap minggu,Merek,Sosmed,Selalu,Tidak tertarik,Tidak,pastel,minimalis
25-34,f,jas,100-300k,sedang,Beberapa bulan,Merek,Offline,Kadang,Tidak tertarik,Mungkin,vibrant,minimalis
25-34,f,jaket,300-600k,sedang,Beberapa bulan,Kualitas,Web brand,Sering,Agak tertarik,Mungkin,biru,kasual
25-34,f,pakaian-pria,300-600k,sedang,Setiap bulan,Kualitas,Sosmed,Tak pernah,Agak tertarik,Mungkin,abu,kasual
25-34,m,kaos,300-600k,sedang,Jarang,Trend,Web brand,Tak pernah,Agak tertarik,Mungkin,putih,vintage
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Kualitas,Web brand,Kadang,Tertarik,Ya,putih,kasual
25-34,f,kaos,100-300k,sedang,Setiap bulan,Kualitas,Sosmed,Sering,Agak tertarik,Tidak,vibrant,formal
25-34,f,pakaian-wanita,100-300k,sedang,Beberapa bulan,Harga,Sosmed,Tak pernah,Agak tertarik,Tidak,netral,kasual
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Harga,Sosmed,Selalu,Tertarik,Ya,biru,formal
25-34,f,kaos,300-600k,sedang,Beberapa bulan,Kualitas,Web brand,Tak pernah,Agak tertarik,Mungkin,putih,minimalis
25-34,f,jaket,100-300k,murah,Jarang,Kualitas,Sosmed,Sering,Agak tertarik,Tidak,pastel,sporty
25-34,m,jas,100-300k,sedang,Setiap minggu,Merek,Marketplace,Tak pernah,Tertarik,Ya,putih,vintage
25-34,f,\N,>600k,mahal,Setiap bulan,Kualitas,Marketplace,Kadang,Tidak tertarik,Mungkin,pastel,vintage
25-34,m,jaket,300-600k,sedang,Beberapa bulan,Merek,Marketplace,Kadang,Tidak tertarik,Tidak,abu,sporty
25-34,f,pakaian-wanita,300-600k,sedang,Setiap bulan,Merek,Marketplace,Selalu,Tidak tertarik,Ya,biru,minimalis
25-34,f,sweater,300-600k,sedang,Beberapa bulan,Kualitas,Marketplace,Tak pernah,Tertarik,Tidak,hitam,formal
25-34,f,pakaian-wanita,300-600k,sedang,Setiap minggu,Trend,Sosmed,Selalu,Tertarik,Ya,netral,minimalis
25-34,m,kaos,100-300k,murah,Jarang,Merek,Offline,Sering,Tertarik,Ya,vibrant,formal
25-34,m,jaket,300-600k,sedang,Setiap minggu,Harga,Offline,Tak pernah,Agak tertarik,Mungkin,coklat,sporty
25-34,f,pakaian-wanita,300-600k,sedang,Setiap bulan,Merek,Web brand,Selalu,Tidak tertarik,Tidak,pink,vintage
25-34,f,pakaian-pria,300-600k,sedang,Setiap bulan,Harga,Offline,Sering,Agak tertarik,Mungkin,hitam,minimalis
25-34,f,pakaian-pria,100-300k,murah,Jarang,Trend,Offline,Sering,Agak tertarik,Ya,abu,formal
25-34,m,jas,300-600k,sedang,Setiap minggu,Trend,Web brand,Sering,Tertarik,Ya,hijau,formal
25-34,m,jas,<100k,murah,Setiap minggu,Kualitas,Web brand,Kadang,Tertarik,Tidak,pastel,vintage
25-34,f,jas,<100k,murah,Beberapa bulan,Trend,Web brand,Sering,Tertarik,Tidak,merah,formal
25-34,f,pakaian-pria,300-600k,sedang,Setiap minggu,Harga,Web brand,Selalu,Agak tertarik,Mungkin,kuning,kasual
25-34,f,kaos,100-300k,murah,Jarang,Merek,Web brand,Tak pernah,Agak tertarik,Tidak,putih,kasual
25-34,f,pakaian-wanita,100-300k,murah,Beberapa bulan,Merek,Sosmed,Selalu,Tertarik,Tidak,netral,kasual
25-34,f,jaket,300-600k,sedang,Setiap minggu,Harga,Sosmed,Sering,Agak tertarik,Ya,biru,kasual
25-34,f,pakaian-pria,100-300k,murah,Jarang,Trend,Sosmed,Selalu,Agak tertarik,Ya,pink,kasual
25-34,f,jas,100-300k,sedang,Beberapa bulan,Trend,Marketplace,Tak pernah,Tertarik,Tidak,pastel,formal
25-34,f,jas,300-600k,sedang,Jarang,Trend,Offline,Sering,Agak tertarik,Ya,abu,vintage
25-34,m,kaos,300-600k,sedang,Setiap bulan,Trend,Marketplace,Sering,Tidak tertarik,Mungkin,coklat,sporty
25-34,f,kaos,100-300k,sedang,Setiap bulan,Kualitas,Sosmed,Tak pernah,Tidak tertarik,Ya,hitam,kasual
25-34,m,kaos-kaki,100-300k,sedang,Beberapa bulan,Kualitas,Web brand,Tak pernah,Agak tertarik,Tidak,abu,formal
25-34,f,jaket,300-600k,sedang,Setiap minggu,Kualitas,Web brand,Kadang,Agak tertarik,Ya,netral,kasual
25-34,f,jaket,300-600k,sedang,Jarang,Harga,Sosmed,Kadang,Agak tertarik,Tidak,pastel,kasual
25-34,f,jas,300-600k,sedang,Jarang,Merek,Offline,Sering,Tidak tertarik,Ya,vibrant,sporty
25-34,m,kaos,300-600k,sedang,Jarang,Kualitas,Offline,Sering,Agak tertarik,Mungkin,vibrant,minimalis
25-34,f,jas,100-300k,sedang,Beberapa bulan,Harga,Offline,Selalu,Tidak tertarik,Mungkin,putih,formal
25-34,f,pakaian-pria,<100k,murah,Beberapa bulan,Merek,Marketplace,Selalu,Tidak tertarik,Tidak,earth,formal
25-34,m,celana,100-300k,sedang,Setiap minggu,Trend,Web brand,Kadang,Tertarik,Mungkin,earth,minimalis
25-34,m,pakaian-pria,100-300k,murah,Setiap minggu,Trend,Marketplace,Sering,Tertarik,Tidak,pastel,formal
25-34,f,sweater,<100k,murah,Setiap minggu,Trend,Offline,Tak pernah,Agak tertarik,Mungkin,pink,kasual
25-34,f,sweater,100-300k,murah,Beberapa bulan,Kualitas,Marketplace,Selalu,Tertarik,Ya,netral,formal
25-34,m,jaket,100-300k,murah,Setiap bulan,Merek,Web brand,Sering,Agak tertarik,Ya,pastel,minimalis
25-34,f,kaos,300-600k,sedang,Jarang,Harga,Offline,Tak pernah,Tertarik,Ya,netral,kasual
25-34,f,pakaian-pria,300-600k,sedang,Jarang,Merek,Offline,Tak pernah,Tertarik,Ya,netral,sporty
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Merek,Marketplace,Selalu,Agak tertarik,Ya,pastel,minimalis
25-34,f,jaket,300-600k,sedang,Beberapa bulan,Merek,Web brand,Selalu,Tertarik,Ya,putih,vintage
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Trend,Offline,Tak pernah,Tertarik,Mungkin,vibrant,formal
25-34,f,kaos,300-600k,sedang,Jarang,Harga,Sosmed,Kadang,Tertarik,Ya,vibrant,vintage
25-34,f,kaos,300-600k,sedang,Jarang,Harga,Web brand,Kadang,Tidak tertarik,Mungkin,pink,sporty
25-34,f,kaos,300-600k,sedang,Setiap minggu,Harga,Sosmed,Sering,Agak tertarik,Ya,kuning,minimalis
25-34,m,kaos,<100k,murah,Setiap minggu,Kualitas,Web brand,Tak pernah,Tertarik,Ya,putih,vintage
25-34,m,kaos,300-600k,sedang,Beberapa bulan,Harga,Offline,Sering,Tertarik,Ya,hijau,sporty
25-34,m,jaket,100-300k,murah,Jarang,Harga,Marketplace,Sering,Tidak tertarik,Ya,vibrant,vintage
25-34,m,kaos,300-600k,sedang,Jarang,Kualitas,Sosmed,Tak pernah,Tertarik,Tidak,pink,sporty
25-34,m,jaket,100-300k,murah,Setiap minggu,Trend,Web brand,Selalu,Agak tertarik,Ya,pastel,vintage
25-34,m,kaos,100-300k,murah,Beberapa bulan,Merek,Sosmed,Tak pernah,Tidak tertarik,Tidak,netral,formal
25-34,m,pakaian-pria,300-600k,sedang,Setiap bulan,Merek,Sosmed,Kadang,Agak tertarik,Ya,earth,vintage
25-34,m,pakaian-wanita,300-600k,sedang,Setiap minggu,Trend,Marketplace,Kadang,Agak tertarik,Mungkin,vibrant,sporty
25-34,f,pakaian-wanita,300-600k,sedang,Setiap minggu,Kualitas,Web brand,Selalu,Agak tertarik,Mungkin,kuning,kasual
25-34,m,kaos,300-600k,sedang,Setiap bulan,Harga,Offline,Sering,Tidak tertarik,Mungkin,pastel,minimalis
25-34,f,kaos,300-600k,sedang,Jarang,Kualitas,Offline,Selalu,Agak tertarik,Ya,biru,vintage
25-34,f,pakaian-pria,100-300k,murah,Jarang,Harga,Marketplace,Kadang,Tidak tertarik,Mungkin,hitam,kasual
25-34,f,kaos,100-300k,murah,Beberapa bulan,Kualitas,Offline,Kadang,Tidak tertarik,Tidak,pastel,minimalis
25-34,m,jaket,100-300k,murah,Beberapa bulan,Harga,Marketplace,Kadang,Agak tertarik,Tidak,putih,minimalis
25-34,m,pakaian-wanita,100-300k,murah,Setiap minggu,Kualitas,Offline,Selalu,Tertarik,Mungkin,pastel,formal
25-34,m,jas,100-300k,sedang,Setiap minggu,Trend,Sosmed,Selalu,Tidak tertarik,Tidak,abu,minimalis
25-34,f,pakaian-pria,100-300k,murah,Jarang,Merek,Offline,Tak pernah,Tidak tertarik,Tidak,pastel,kasual
25-34,f,pakaian-pria,100-300k,sedang,Setiap bulan,Merek,Marketplace,Kadang,Agak tertarik,Ya,earth,minimalis
25-34,f,pakaian-wanita,100-300k,murah,Setiap bulan,Harga,Web brand,Tak pernah,Tertarik,Tidak,biru,vintage
25-34,f,jaket,100-300k,murah,Jarang,Merek,Offline,Selalu,Tertarik,Tidak,vibrant,formal
25-34,m,jaket,100-300k,murah,Jarang,Merek,Offline,Sering,Agak tertarik,Mungkin,putih,sporty
25-34,m,jaket,100-300k,sedang,Jarang,Merek,Sosmed,Sering,Tertarik,Ya,hitam,kasual
25-34,f,jas,<100k,murah,Beberapa bulan,Kualitas,Offline,Tak pernah,Tertarik,Mungkin,coklat,minimalis
25-34,m,jas,<100k,murah,Beberapa bulan,Trend,Marketplace,Selalu,Tidak tertarik,Tidak,pastel,vintage
25-34,m,sweater,<100k,murah,Jarang,Trend,Web brand,Kadang,Agak tertarik,Mungkin,abu,minimalis
25-34,f,jas,<100k,murah,Jarang,Harga,Web brand,Selalu,Tertarik,Tidak,netral,minimalis
25-34,f,sweater,100-300k,sedang,Setiap bulan,Harga,Sosmed,Selalu,Tertarik,Tidak,pastel,minimalis
25-34,f,celana,300-600k,sedang,Beberapa bulan,Kualitas,Web brand,Sering,Tidak tertarik,Tidak,coklat,minimalis
25-34,m,kaos,100-300k,murah,Jarang,Kualitas,Marketplace,Kadang,Tidak tertarik,Tidak,earth,kasual
25-34,f,pakaian-pria,<100k,murah,Setiap minggu,Kualitas,Sosmed,Tak pernah,Tertarik,Ya,biru,minimalis
25-34,f,jaket,300-600k,sedang,Jarang,Harga,Sosmed,Kadang,Agak tertarik,Tidak,coklat,sporty
25-34,f,kaos,300-600k,sedang,Setiap bulan,Kualitas,Marketplace,Selalu,Agak tertarik,Tidak,pastel,formal
25-34,m,pakaian-wanita,300-600k,sedang,Setiap minggu,Harga,Sosmed,Sering,Agak tertarik,Ya,netral,kasual
25-34,m,kaos,300-600k,sedang,Setiap bulan,Trend,Offline,Kadang,Tidak tertarik,Tidak,biru,kasual
25-34,m,celana,100-300k,sedang,Setiap minggu,Trend,Marketplace,Sering,Tertarik,Tidak,pastel,formal
25-34,f,pakaian-wanita,300-600k,sedang,Jarang,Merek,Web brand,Selalu,Agak tertarik,Mungkin,biru,kasual
25-34,f,pakaian-pria,300-600k,sedang,Setiap bulan,Kualitas,Web brand,Kadang,Tertarik,Tidak,putih,kasual
25-34,m,jaket,300-600k,sedang,Beberapa bulan,Kualitas,Offline,Tak pernah,Tidak tertarik,Mungkin,vibrant,formal
25-34,m,pakaian-wanita,300-600k,sedang,Setiap bulan,Kualitas,Sosmed,Sering,Agak tertarik,Ya,abu,formal
25-34,m,sweater,100-300k,murah,Setiap minggu,Harga,Marketplace,Tak pernah,Tidak tertarik,Mungkin,kuning,kasual
25-34,m,kaos,300-600k,sedang,Setiap minggu,Trend,Web brand,Kadang,Tidak tertarik,Tidak,coklat,kasual
25-34,f,jaket,300-600k,sedang,Setiap bulan,Kualitas,Offline,Tak pernah,Tertarik,Ya,netral,vintage
25-34,f,kaos-polo,300-600k,sedang,Setiap bulan,Trend,Marketplace,Selalu,Tidak tertarik,Mungkin,kuning,sporty
25-34,m,kaos,<100k,murah,Beberapa bulan,Trend,Sosmed,Kadang,Tertarik,Tidak,biru,vintage
25-34,m,kaos-polo,100-300k,sedang,Beberapa bulan,Trend,Offline,Tak pernah,Agak tertarik,Mungkin,pastel,formal
25-34,m,kaos-kaki,300-600k,sedang,Setiap minggu,Harga,Marketplace,Tak pernah,Agak tertarik,Ya,hitam,sporty
25-34,f,pakaian-pria,300-600k,sedang,Beberapa bulan,Harga,Web brand,Kadang,Tidak tertarik,Mungkin,hitam,minimalis
25-34,m,celana,100-300k,sedang,Jarang,Kualitas,Web brand,Tak pernah,Tidak tertarik,Mungkin,netral,kasual
25-34,f,pakaian-wanita,300-600k,sedang,Setiap minggu,Trend,Offline,Selalu,Tertarik,Tidak,earth,sporty
25-34,f,jaket,100-300k,murah,Setiap bulan,Kualitas,Offline,Selalu,Tidak tertarik,Ya,coklat,kasual
25-34,f,kaos,100-300k,murah,Beberapa bulan,Merek,Marketplace,Selalu,Tertarik,Mungkin,hitam,minimalis
25-34,m,kaos,<100k,murah,Setiap minggu,Trend,Sosmed,Tak pernah,Tidak tertarik,Tidak,hitam,minimalis
25-34,f,dress,300-600k,sedang,Setiap minggu,Kualitas,Web brand,Sering,Tidak tertarik,Mungkin,hitam,sporty
25-34,m,pakaian-pria,100-300k,murah,Setiap minggu,Trend,Marketplace,Sering,Tertarik,Tidak,pastel,formal
25-34,m,celana,100-300k,sedang,Beberapa bulan,Trend,Marketplace,Selalu,Tidak tertarik,Tidak,pastel,vintage
25-34,m,pakaian-pria,<100k,murah,Beberapa bulan,Trend,Sosmed,Tak pernah,Tidak tertarik,Tidak,netral,kasual
25-34,f,kaos,300-600k,sedang,Setiap minggu,Kualitas,Offline,Sering,Tidak tertarik,Tidak,putih,vintage
25-34,f,kaos,100-300k,murah,Beberapa bulan,Trend,Web brand,Kadang,Agak tertarik,Mungkin,merah,sporty
25-34,m,jas,100-300k,sedang,Setiap bulan,Harga,Sosmed,Sering,Agak tertarik,Mungkin,hitam,vintage
25-34,m,jas,100-300k,sedang,Setiap bulan,Harga,Offline,Selalu,Tidak tertarik,Tidak,hitam,kasual
25-34,f,pakaian-pria,<100k,murah,Jarang,Kualitas,Marketplace,Selalu,Tertarik,Tidak,hitam,minimalis
25-34,m,jas,<100k,murah,Setiap minggu,Trend,Web brand,Kadang,Tidak tertarik,Tidak,abu,kasual
25-34,m,celana,100-300k,sedang,Setiap minggu,Trend,Offline,Sering,Agak tertarik,Tidak,biru,vintage
25-34,m,kaos,100-300k,murah,Jarang,Merek,Sosmed,Sering,Tertarik,Ya,hitam,kasual
25-34,m,kaos,100-300k,murah,Setiap minggu,Merek,Marketplace,Sering,Agak tertarik,Mungkin,hitam,minimalis
25-34,m,kaos,100-300k,murah,Beberapa bulan,Trend,Offline,Tak pernah,Agak tertarik,Mungkin,pastel,formal
25-34,f,kaos,300-600k,sedang,Setiap bulan,Trend,Marketplace,Kadang,Agak tertarik,Ya,putih,kasual
25-34,f,jas,100-300k,sedang,Beberapa bulan,Harga,Web brand,Sering,Tertarik,Mungkin,pink,vintage
25-34,f,pakaian-pria,100-300k,sedang,Beberapa bulan,Trend,Offline,Kadang,Tidak tertarik,Mungkin,earth,formal
25-34,f,jaket,100-300k,murah,Setiap bulan,Merek,Web brand,Selalu,Tertarik,Mungkin,biru,minimalis
25-34,m,kaos-polo,300-600k,sedang,Setiap minggu,Harga,Sosmed,Kadang,Tertarik,Ya,netral,sporty
25-34,m,jaket,300-600k,sedang,Jarang,Merek,Offline,Tak pernah,Tertarik,Tidak,earth,minimalis
25-34,f,pakaian-wanita,300-600k,sedang,Setiap minggu,Kualitas,Web brand,Selalu,Agak tertarik,Mungkin,vibrant,kasual
25-34,f,celana,300-600k,sedang,Setiap minggu,Trend,Web brand,Kadang,Agak tertarik,Tidak,earth,vintage
25-34,m,jaket,300-600k,sedang,Beberapa bulan,Merek,Web brand,Tak pernah,Tertarik,Ya,earth,minimalis
25-34,m,kaos-polo,300-600k,sedang,Jarang,Harga,Sosmed,Selalu,Agak tertarik,Tidak,pastel,minimalis
25-34,m,celana,100-300k,sedang,Setiap minggu,Harga,Marketplace,Kadang,Tidak tertarik,Ya,hitam,sporty
25-34,f,\N,>600k,mahal,Setiap minggu,Trend,Web brand,Sering,Tertarik,Mungkin,putih,kasual
25-34,f,pakaian-pria,300-600k,sedang,Jarang,Harga,Web brand,Tak pernah,Agak tertarik,Tidak,biru,vintage
25-34,f,pakaian-pria,100-300k,murah,Beberapa bulan,Kualitas,Offline,Sering,Tidak tertarik,Ya,merah,kasual
25-34,m,pakaian-pria,<100k,murah,Jarang,Merek,Sosmed,Sering,Tidak tertarik,Ya,putih,vintage
25-34,f,jas,100-300k,sedang,Beberapa bulan,Merek,Offline,Selalu,Tertarik,Tidak,vibrant,formal
25-34,m,pakaian-pria,<100k,murah,Beberapa bulan,Kualitas,Marketplace,Kadang,Tertarik,Ya,pink,sporty
25-34,f,pakaian-wanita,300-600k,sedang,Setiap bulan,Kualitas,Web brand,Selalu,Agak tertarik,Ya,putih,vintage
25-34,f,pakaian-pria,100-300k,sedang,Jarang,Merek,Offline,Selalu,Agak tertarik,Tidak,pink,kasual
25-34,m,jas,<100k,murah,Jarang,Merek,Offline,Sering,Tertarik,Ya,hitam,formal
25-34,f,kaos,100-300k,murah,Setiap bulan,Harga,Web brand,Sering,Agak tertarik,Mungkin,vibrant,vintage
25-34,m,kaos,<100k,murah,Setiap bulan,Kualitas,Web brand,Kadang,Tertarik,Ya,merah,sporty
25-34,m,kaos,<100k,murah,Setiap minggu,Kualitas,Web brand,Kadang,Tertarik,Tidak,pastel,vintage
25-34,m,kaos,100-300k,murah,Beberapa bulan,Trend,Sosmed,Sering,Agak tertarik,Tidak,vibrant,minimalis
25-34,m,jaket,300-600k,sedang,Jarang,Harga,Marketplace,Selalu,Tertarik,Tidak,biru,formal
25-34,m,jaket,300-600k,sedang,Setiap bulan,Merek,Offline,Tak pernah,Tertarik,Mungkin,abu,kasual
25-34,f,kemeja-casual,300-600k,sedang,Setiap minggu,Trend,Web brand,Tak pernah,Agak tertarik,Ya,pastel,minimalis
25-34,f,kaos,100-300k,murah,Setiap minggu,Harga,Web brand,Tak pernah,Agak tertarik,Ya,hitam,vintage
25-34,f,pakaian-pria,300-600k,sedang,Setiap minggu,Merek,Offline,Tak pernah,Agak tertarik,Tidak,netral,formal
25-34,f,kaos,300-600k,sedang,Jarang,Harga,Web brand,Kadang,Tidak tertarik,Mungkin,pink,vintage
25-34,m,kaos-polo,300-600k,sedang,Setiap minggu,Trend,Marketplace,Tak pernah,Tidak tertarik,Mungkin,netral,kasual
25-34,m,celana,300-600k,sedang,Setiap minggu,Merek,Marketplace,Sering,Agak tertarik,Mungkin,vibrant,vintage
25-34,f,pakaian-pria,100-300k,murah,Jarang,Harga,Sosmed,Kadang,Agak tertarik,Mungkin,pink,formal
25-34,m,sweater,300-600k,sedang,Jarang,Trend,Offline,Selalu,Tidak tertarik,Mungkin,netral,sporty
25-34,f,kaos,300-600k,sedang,Jarang,Kualitas,Sosmed,Tak pernah,Tidak tertarik,Mungkin,netral,minimalis
25-34,m,dress,300-600k,sedang,Jarang,Harga,Sosmed,Kadang,Tertarik,Ya,putih,kasual
25-34,m,jas,300-600k,sedang,Jarang,Trend,Offline,Sering,Agak tertarik,Mungkin,vibrant,minimalis
25-34,f,pakaian-pria,<100k,murah,Setiap bulan,Harga,Sosmed,Kadang,Agak tertarik,Mungkin,putih,kasual
25-34,f,pakaian-pria,100-300k,murah,Jarang,Merek,Sosmed,Selalu,Tertarik,Tidak,hitam,kasual
25-34,m,kaos,100-300k,murah,Setiap bulan,Trend,Marketplace,Selalu,Tidak tertarik,Mungkin,pink,minimalis
25-34,m,kaos,100-300k,murah,Beberapa bulan,Merek,Marketplace,Tak pernah,Tidak tertarik,Ya,hijau,kasual
25-34,m,kaos,300-600k,sedang,Beberapa bulan,Harga,Marketplace,Sering,Tidak tertarik,Mungkin,vibrant,minimalis
25-34,m,pakaian-pria,<100k,murah,Jarang,Merek,Sosmed,Kadang,Tidak tertarik,Tidak,biru,minimalis
25-34,m,jaket,100-300k,sedang,Setiap minggu,Kualitas,Marketplace,Kadang,Tertarik,Ya,vibrant,kasual
25-34,f,kaos-polo,<100k,murah,Jarang,Trend,Sosmed,Sering,Tertarik,Mungkin,biru,formal
